Country_name	Country_Code	EMP_VULN_MA	EMP_VULN_FE	SL_EMP_WORK_MA	SL_EMP_WORK_FE	GDP_EMP	UEM_TOTL_MA	UEM_TOTL_FE	UEM_1524_MA	UEM_1524_FE	SRV_EMPL_MA	SRV_EMPL_FE	IND_EMPL_MA	IND_EMPL_FE	AGR_EMPL_MA	AGR_EMPL_FE
Aruba	ABW	85.993	95.574	13.292	4.282	4916.107	1.056	2.421	2.062	3.670	52.226	28.427	18.554	15.844	29.221	55.728
Afghanistan	AFG	53.614	80.593	40.390	16.808	14784.700	6.882	7.622	17.114	17.016	41.996	43.357	15.406	1.114	42.598	55.529
Angola	AGO	54.994	54.663	41.543	44.321	31132.711	14.452	13.132	33.069	27.143	42.638	42.696	22.518	15.015	34.844	42.289
Albania	ALB	23.266	31.726	70.665	66.707	53424.870	7.707	18.679	22.657	37.782	52.736	60.950	27.725	9.187	19.539	29.863
Andorra	AND	0.666	0.988	96.370	97.583	100218.289	1.706	7.462	6.477	13.003	69.385	93.809	26.307	6.063	4.308	0.128
Arab_World	ARB	23.287	18.957	71.898	78.581	48109.371	8.544	10.788	22.245	29.836	68.087	91.010	31.824	8.975	0.089	0.015
United_Arab_Emirates	ARE	12.799	8.331	79.286	87.562	24805.096	5.337	5.445	13.509	10.825	67.054	90.795	29.566	7.576	3.379	1.629
Argentina	ARG	8.130	7.139	85.483	90.223	92936.219	4.840	4.723	9.111	9.259	59.363	85.177	36.505	11.195	4.132	3.628
Armenia	ARM	48.535	61.987	36.046	27.173	96643.188	4.425	6.054	12.197	15.511	47.014	52.089	22.297	5.976	30.689	41.935
American_Samoa	ASM	11.925	8.161	82.657	89.353	34190.172	6.262	6.395	18.304	16.727	67.569	90.855	30.891	8.452	1.540	0.693
Antigua_and_Barbuda	ATG	81.809	94.325	16.309	4.982	1614.052	2.021	2.232	4.011	4.416	30.096	48.592	21.121	17.630	48.783	33.778
Australia	AUS	50.394	67.466	43.568	31.887	105301.422	3.338	6.513	10.244	15.990	45.996	23.830	22.062	16.737	31.941	59.432
Austria	AUT	9.463	6.805	85.626	90.967	5455.678	5.698	4.757	14.379	12.071	54.607	73.174	36.288	22.354	9.105	4.472
Azerbaijan	AZE	1.070	0.957	97.357	96.850	5280.031	0.296	3.537	2.090	12.797	56.876	90.980	41.839	8.973	1.285	0.047
Burundi	BDI	12.859	6.524	80.511	91.500	9690.710	10.451	13.442	20.625	32.747	68.639	96.217	26.901	3.342	4.460	0.440
Belgium	BEL	4.657	2.292	94.078	97.172	44353.848	7.261	4.139	11.596	7.744	43.855	73.133	42.101	19.658	14.044	7.209
Benin	BEN	26.040	28.913	65.995	66.404	70352.383	5.363	15.329	11.671	33.076	56.424	86.630	18.565	8.137	25.011	5.233
Burkina_Faso	BFA	54.053	63.768	39.817	34.379	54089.238	2.732	3.985	6.111	9.329	41.982	61.811	30.072	9.938	27.946	28.252
Bangladesh	BGD	30.749	23.160	63.408	73.621	39423.445	11.106	14.419	25.674	32.480	59.083	85.193	27.710	10.577	13.207	4.230
